TEMPLATE ID,TELEMARKETER,TEMPLATE NAME,TYPE,HEADER,CATEGORY,REGISTERED DLT,REQUESTED ON,STATUS DATE,CREATED BY,APPROVAL STATUS,STATUS,TEMPLATE MESSAGE,CONSENT TYPE,REASON
1107169227440634232',--,Testing template,Service-Implicit,"HABTIC,TELSPL",--,Vodafone Idea,17-08-2023 17:43,17-08-2023 18:09,Arjun Mishra,Approved,Active,"Dear User,
Thanks for Choosing {#var#}, we are happy to help you {#var#}{#var#}.

Team{#var#}
WAY2PROMO ADVERTISERS PRIVATE LIMITED",Implicit,Approved template
1107169037194423236',--,Testing template2,Service-Implicit,"WAYPM,WAY",--,Vodafone Idea,26-07-2023 17:15,26-07-2023 17:50,Arjun Mishra,Approved,Active,"Dear {#var#},
Your registration code {#var#} is for {#var#}.

Team
WAY2PROMO ADVERTISERS PVT ltd.
",Implicit,Template approved
